Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,C19702
D1,1206,1,LED,C965827 
"D2, D4",1206,2,LED,C965822
D3,D_SMA,1,D,C2480
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Motor_DC,C131337 
J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,SK6812,C131339
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,3.7V,C131337 
J4,SW_SPST_Omron_B3F-40xx,1,SW_Push,
Q1,SOT-23-3,1,PMOS,C9900157587
"R1, R2, R5",1206,3,1k,C1469
R3,1206,1,1.5k,C1471
R4,1206,1,0.4,C2934306
"R6, R7",1206,2,5.1k,C2907509
R8,1206,1,220R,C25363
U1,ItsyBitsy_M4_V2,1,~,
U2,SOP-8_3.9x4.9mm_P1.27mm,1,TP4056,C382139
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,~,C2765186
