Designator,Mid X,Mid Y,Rotation,Layer
C1,98.298,-111.506,0.0,top
C2,112.842,-101.6,0.0,top
D1,107.566,-112.268,0.0,top
D2,91.5416,-105.1814,0.0,top
D3,119.38,-104.902,0.0,top
D4,89.0524,-112.268,0.0,top
J1,78.952,-78.232,90.0,top
J2,117.856,-78.232,270.0,top
J3,98.298,-105.706,180.0,top
J4,98.171,-89.916,90.0,bottom
Q1,112.776,-104.902,0.0,top
R1,107.442,-108.204,0.0,top
R2,86.8172,-105.156,180.0,top
R3,119.38,-89.154,0.0,top
R4,93.98,-112.268,0.0,top
R5,102.616,-112.268,180.0,top
R6,89.1794,-116.0018,0.0,top
R7,107.4166,-115.951,180.0,top
R8,89.0377,-109.8296,0.0,top
U1,98.298,-82.0785,0.0,top
U2,119.38,-96.012,180.0,top
USB1,98.298,-117.9585,0.0,top
